For bin k=0,pTHat(1,2)GeV	 total events = 100000
For bin k=1,pTHat(2,3)GeV	 total events = 100000
For bin k=2,pTHat(3,4)GeV	 total events = 100000
For bin k=3,pTHat(4,5)GeV	 total events = 100000
For bin k=4,pTHat(5,7)GeV	 total events = 100000
For bin k=5,pTHat(7,9)GeV	 total events = 100000
For bin k=6,pTHat(9,11)GeV	 total events = 100000
For bin k=7,pTHat(11,13)GeV	 total events = 100000
For bin k=8,pTHat(13,15)GeV	 total events = 100000
For bin k=9,pTHat(15,17)GeV	 total events = 100000
For bin k=10,pTHat(17,20)GeV	 total events = 100000
For bin k=11,pTHat(20,25)GeV	 total events = 100000
For bin k=12,pTHat(25,30)GeV	 total events = 100000
For bin k=13,pTHat(30,35)GeV	 total events = 100000
For bin k=14,pTHat(35,40)GeV	 total events = 100000
For bin k=15,pTHat(40,45)GeV	 total events = 100000
For bin k=16,pTHat(45,50)GeV	 total events = 100000
For bin k=17,pTHat(50,55)GeV	 total events = 100000
For bin k=18,pTHat(55,60)GeV	 total events = 100000
For bin k=19,pTHat(60,70)GeV	 total events = 100000
For bin k=20,pTHat(70,80)GeV	 total events = 100000
For bin k=21,pTHat(80,90)GeV	 total events = 100000
For bin k=22,pTHat(90,100)GeV	 total events = 100000
For bin k=23,pTHat(100,110)GeV	 total events = 100000
For bin k=24,pTHat(110,120)GeV	 total events = 100000
For bin k=25,pTHat(120,130)GeV	 total events = 100000
For bin k=26,pTHat(130,140)GeV	 total events = 100000
For bin k=27,pTHat(140,150)GeV	 total events = 100000
For bin k=28,pTHat(150,160)GeV	 total events = 100000
For bin k=29,pTHat(160,170)GeV	 total events = 100000
For bin k=30,pTHat(170,180)GeV	 total events = 100000
For bin k=31,pTHat(180,190)GeV	 total events = 100000
For bin k=32,pTHat(190,200)GeV	 total events = 100000
For bin k=33,pTHat(200,210)GeV	 total events = 100000
For bin k=34,pTHat(210,220)GeV	 total events = 100000
For bin k=35,pTHat(220,230)GeV	 total events = 100000
For bin k=36,pTHat(230,240)GeV	 total events = 100000
For bin k=37,pTHat(240,250)GeV	 total events = 98900
For bin k=38,pTHat(250,260)GeV	 total events = 100000
For bin k=39,pTHat(260,270)GeV	 total events = 100000
For bin k=40,pTHat(270,280)GeV	 total events = 100000
For bin k=41,pTHat(280,290)GeV	 total events = 18259
For bin k=42,pTHat(290,300)GeV	 total events = 100000
For bin k=43,pTHat(300,350)GeV	 total events = 100000
For bin k=44,pTHat(350,400)GeV	 total events = 100000
For bin k=45,pTHat(400,450)GeV	 total events = 100000
For bin k=46,pTHat(450,500)GeV	 total events = 100000
For bin k=47,pTHat(500,550)GeV	 total events = 100000
For bin k=48,pTHat(550,600)GeV	 total events = 100000
For bin k=49,pTHat(600,700)GeV	 total events = 100000
For bin k=50,pTHat(700,800)GeV	 total events = 100000
For bin k=51,pTHat(800,900)GeV	 total events = 100000
For bin k=52,pTHat(900,1000)GeV	 total events = 100000
For bin k=53,pTHat(1000,1100)GeV	 total events = 100000
For bin k=54,pTHat(1100,1200)GeV	 total events = 100000
For bin k=55,pTHat(1200,1300)GeV	 total events = 100000
For bin k=56,pTHat(1300,1400)GeV	 total events = 100000
For bin k=57,pTHat(1400,1500)GeV	 total events = 100000
For bin k=58,pTHat(1500,1600)GeV	 total events = 100000
For bin k=59,pTHat(1600,1700)GeV	 total events = 100000
For bin k=60,pTHat(1700,1800)GeV	 total events = 100000
For bin k=61,pTHat(1800,1900)GeV	 total events = 100000
For bin k=62,pTHat(1900,2000)GeV	 total events = 100000
For bin k=63,pTHat(2000,2200)GeV	 total events = 100000
For bin k=64,pTHat(2200,2400)GeV	 total events = 100000
For bin k=65,pTHat(2400,2510)GeV	 total events = 100000
Programme run time = 0::33::44
