#HadronpT 	DifferentialYieldORCrossSection 	JetpTBinWidth/2.0 	DCSorYieldError 	DCSorYieldErr%
0.55	6.29551	0.05	0.0238433	0.378735
0.65	3.96021	0.05	0.017117	0.432225
0.75	2.50629	0.05	0.0124513	0.496805
0.85	1.59557	0.05	0.00914008	0.572842
0.95	1.03506	0.05	0.00675552	0.652671
1.05	0.684224	0.05	0.00507436	0.741623
1.15	0.468747	0.05	0.00390851	0.83382
1.3	0.279337	0.1	0.00192631	0.689602
1.5	0.144195	0.1	0.00120174	0.833411
1.7	0.0777531	0.1	0.00078179	1.00548
1.9	0.0451893	0.1	0.000537066	1.18848
2.1	0.0257821	0.1	0.000355781	1.37995
2.3	0.0155244	0.1	0.000245707	1.58271
2.8	0.00543677	0.4	6.07437e-05	1.11727
3.6	0.00107778	0.4	1.85127e-05	1.71767
4.4	0.000280141	0.4	6.51562e-06	2.32583
5.2	8.52425e-05	0.4	1.95148e-06	2.28933
6	3.08718e-05	0.4	8.48396e-07	2.74813
6.8	1.39938e-05	0.4	4.50699e-07	3.2207
8.4	3.8744e-06	1.2	8.68656e-08	2.24204
10.8	7.4732e-07	1.2	2.01907e-08	2.70175
13.2	2.05676e-07	1.2	7.46165e-09	3.62788
16.8	5.17058e-08	2.4	1.2562e-09	2.42951
21.6	9.78105e-09	2.4	2.08344e-10	2.13008
26.4	2.75196e-09	2.4	6.54397e-11	2.37793
32	8.90195e-10	3.2	2.12581e-11	2.38803
38.4	2.71751e-10	3.2	5.68292e-12	2.09122
44.8	1.05811e-10	3.2	3.11867e-12	2.94738
54.4	3.03826e-11	6.4	6.08257e-13	2.00199
67.2	7.82464e-12	6.4	1.70181e-13	2.17494
80	2.40951e-12	6.4	5.99831e-14	2.48943
95	7.90172e-13	8.6	1.80664e-14	2.28639
112.2	2.5827e-13	8.6	5.54692e-15	2.14772
130.4	9.17701e-14	9.6	1.8985e-15	2.06876
152.5	3.11441e-14	12.5	4.88448e-16	1.56835
207.5	4.59393e-15	42.5	4.90429e-17	1.06756
325	1.70376e-16	75	2.35337e-18	1.38128
