#HadronpT 	DifferentialYieldORCrossSection 	JetpTBinWidth/2.0 	DCSorYieldError 	DCSorYieldErr%
0.55	6.69506	0.05	0.0243269	0.363356
0.65	4.18119	0.05	0.0174421	0.417155
0.75	2.61367	0.05	0.0125931	0.481816
0.85	1.63077	0.05	0.0091766	0.562715
0.95	1.03716	0.05	0.00672148	0.648063
1.05	0.678698	0.05	0.00506402	0.746138
1.15	0.450473	0.05	0.00383153	0.850558
1.3	0.253956	0.1	0.00182643	0.719192
1.5	0.126665	0.1	0.00113762	0.898131
1.7	0.0646922	0.1	0.000720638	1.11395
1.9	0.0363635	0.1	0.000482342	1.32644
2.1	0.0207117	0.1	0.000333482	1.61012
2.3	0.0121583	0.1	0.000235335	1.93558
2.8	0.00396157	0.4	5.51955e-05	1.39328
3.6	0.000740426	0.4	1.66298e-05	2.24598
4.4	0.000178832	0.4	4.58105e-06	2.56165
5.2	5.88139e-05	0.4	1.65133e-06	2.80772
6	2.33469e-05	0.4	1.73623e-06	7.43664
6.8	9.89416e-06	0.4	3.86556e-07	3.90691
8.4	2.73387e-06	1.2	1.37861e-07	5.04271
10.8	5.23304e-07	1.2	1.18415e-08	2.26284
13.2	1.55197e-07	1.2	4.71861e-09	3.04041
16.8	3.69483e-08	2.4	7.72195e-10	2.08993
21.6	7.79672e-09	2.4	1.8718e-10	2.40075
26.4	2.1646e-09	2.4	6.68895e-11	3.09016
32	6.61181e-10	3.2	1.85356e-11	2.80341
38.4	2.07972e-10	3.2	5.75346e-12	2.76646
44.8	7.88776e-11	3.2	2.09127e-12	2.65128
54.4	2.41396e-11	6.4	5.63737e-13	2.33532
67.2	6.04777e-12	6.4	1.21162e-13	2.00342
80	1.85901e-12	6.4	4.17179e-14	2.2441
95	6.11371e-13	8.6	1.37208e-14	2.24426
112.2	2.04282e-13	8.6	6.31477e-15	3.09121
130.4	7.42033e-14	9.6	1.96254e-15	2.64481
152.5	2.46478e-14	12.5	3.76537e-16	1.52767
207.5	3.6301e-15	42.5	4.90652e-17	1.35162
325	1.36736e-16	75	3.09678e-18	2.26479
