pTHatBin 	 TotalEventsRegistered
1-2	100000	98746
2-3	100000	98619
3-4	100000	99449
4-5	100000	99793
5-7	100000	99901
7-9	100000	99960
9-11	100000	99978
11-13	100000	99988
13-15	100000	99989
15-17	100000	99995
17-20	100000	99996
20-25	100000	99999
25-30	100000	99999
30-35	100000	99999
35-40	100000	99999
40-45	100000	99999
45-50	100000	99999
50-55	100000	99999
55-60	100000	99999
60-70	100000	99999
70-80	100000	99999
80-90	100000	99999
90-100	100000	99999
100-110	100000	99999
110-120	100000	99999
120-130	100000	99999
130-140	100000	99999
140-150	100000	99999
150-160	100000	99999
160-170	100000	99999
170-180	100000	99999
180-190	100000	99999
190-200	100000	99999
200-210	100000	99999
210-220	100000	99999
220-230	100000	99999
230-240	100000	99999
240-250	98900	98899
250-260	100000	99999
260-270	100000	99999
270-280	100000	99999
280-290	18259	18258
290-300	100000	99999
300-350	100000	99999
350-400	100000	99999
400-450	100000	99999
450-500	100000	99999
500-550	100000	99999
550-600	100000	99999
600-700	100000	99999
700-800	100000	99999
800-900	100000	99999
900-1000	100000	99999
1000-1100	100000	99999
1100-1200	100000	99999
1200-1300	100000	99999
1300-1400	100000	99999
1400-1500	100000	99999
1500-1600	100000	99999
1600-1700	100000	99999
1700-1800	100000	99999
1800-1900	100000	99999
1900-2000	100000	99999
2000-2200	100000	99999
2200-2400	100000	99999
2400-2510	100000	99999
