#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000192482	5	7.28769e-07	0.378616
56.5	6.1678e-05	6.5	2.04105e-07	0.33092
71	1.87952e-05	8	5.79423e-08	0.308283
89.5	5.49857e-06	10.5	1.58878e-08	0.288945
113	1.50236e-06	13	4.2828e-09	0.285072
142	4.03712e-07	16	1.09352e-09	0.270866
179	1.0226e-07	21	2.39744e-10	0.234446
225.5	2.4305e-08	25.5	5.11004e-11	0.210246
283.5	5.52648e-09	32.5	1.06413e-11	0.192552
357	1.15058e-09	41	2.71547e-12	0.236008
449.5	2.1677e-10	51.5	5.77303e-13	0.266321
566	3.55652e-11	65	1.07963e-13	0.303564
715.5	4.74788e-12	84.5	1.64534e-14	0.346541
900	4.72549e-13	100	1.75608e-15	0.371619
