#JetpT 	TotalCrossSection 	JetpTBinWidth/2.0 	TCSError 	TCSErr%
45	0.000167425	5	6.49702e-07	0.388056
56.5	5.37769e-05	6.5	1.81832e-07	0.338122
71	1.6419e-05	8	5.13353e-08	0.312657
89.5	4.7988e-06	10.5	1.40345e-08	0.292458
113	1.31005e-06	13	3.83616e-09	0.292825
142	3.52199e-07	16	9.65911e-10	0.274252
179	8.87756e-08	21	2.094e-10	0.235876
225.5	2.10739e-08	25.5	4.5109e-11	0.214051
283.5	4.77524e-09	32.5	9.79042e-12	0.205025
357	9.92282e-10	41	2.49324e-12	0.251263
449.5	1.85626e-10	51.5	5.28068e-13	0.284479
566	3.04537e-11	65	9.45904e-14	0.310603
715.5	4.0543e-12	84.5	1.42285e-14	0.350949
900	4.08347e-13	100	1.5401e-15	0.377154
