#HISQ entropy density, nf=3; s/T^3
#T(MeV) I dI P dP E dE S dS CV dCV cs dcs
1.350e+02 1.1270e+00 1.2078e-01 1.8859e-01 5.4286e-02 1.6928e+00 2.0276e-01 1.8814e+00 2.4848e-01 1.6880e+01 5.4183e+00 1.3013e-01 1.5993e-01
1.400e+02 1.2832e+00 1.0474e-01 2.3287e-01 5.4415e-02 1.9818e+00 1.9924e-01 2.2146e+00 2.4722e-01 1.4434e+01 2.6189e+00 1.5830e-01 1.2095e-01
1.450e+02 1.3805e+00 1.0171e-01 2.7949e-01 5.4684e-02 2.2190e+00 2.0003e-01 2.4985e+00 2.4872e-01 1.6835e+01 2.3508e+00 1.5095e-01 1.2221e-01
1.500e+02 1.5995e+00 7.4194e-02 3.2946e-01 5.4959e-02 2.5879e+00 1.8692e-01 2.9174e+00 2.3840e-01 2.4253e+01 2.3733e+00 1.2154e-01 1.3949e-01
1.550e+02 1.9403e+00 6.2948e-02 3.8733e-01 5.5087e-02 3.1023e+00 1.7809e-01 3.4896e+00 2.3044e-01 2.9181e+01 1.9156e+00 1.2001e-01 1.3944e-01
1.600e+02 2.2968e+00 6.0198e-02 4.5453e-01 5.5109e-02 3.6604e+00 1.7647e-01 4.1149e+00 2.2905e-01 3.3275e+01 1.5562e+00 1.2390e-01 1.3671e-01
1.650e+02 2.6885e+00 5.3569e-02 5.3106e-01 5.5132e-02 4.2817e+00 1.7480e-01 4.8127e+00 2.2791e-01 3.9171e+01 1.3571e+00 1.2297e-01 1.3716e-01
1.700e+02 3.1450e+00 4.2731e-02 6.1797e-01 5.5163e-02 4.9990e+00 1.7171e-01 5.6169e+00 2.2556e-01 4.5525e+01 1.5207e+00 1.2350e-01 1.3683e-01
1.750e+02 3.5978e+00 4.5823e-02 7.1581e-01 5.5174e-02 5.7452e+00 1.7184e-01 6.4610e+00 2.2550e-01 4.8279e+01 1.2577e+00 1.3388e-01 1.3000e-01
1.800e+02 3.9638e+00 4.5974e-02 8.2252e-01 5.5179e-02 6.4313e+00 1.7211e-01 7.2538e+00 2.2576e-01 4.9088e+01 9.9279e-01 1.4781e-01 1.2091e-01
1.850e+02 4.2373e+00 3.9563e-02 9.3506e-01 5.5190e-02 7.0425e+00 1.7064e-01 7.9775e+00 2.2469e-01 4.9374e+01 1.2778e+00 1.6165e-01 1.1195e-01
1.900e+02 4.4250e+00 4.4002e-02 1.0507e+00 5.5202e-02 7.5772e+00 1.7185e-01 8.6280e+00 2.2566e-01 4.9174e+01 1.2673e+00 1.7553e-01 1.0291e-01
