#HISQ-action,2+1 flavor QCD, beta function, beta=10/g^2
#arXiv: 1407.6387v2, The equation of state in (2+1)-flavor QCD, Table-IV, Figure-13, Page-18
#Non-perturbative beta function
#R_beta =T*dBeta/dT= (r1/a)*(d(r1/a)/dBeta)^-1
#beta	  R_Beta
5.865     1.058
5.890     1.054
5.915     1.052
5.939     1.049
5.964     1.046
5.989     1.044
6.013     1.041
6.038     1.039
6.063     1.036
6.088     1.034
6.112     1.033
6.137     1.031
6.162     1.029
6.186     1.028
6.211     1.026
6.236     1.025
6.260     1.024
6.285     1.023
6.310     1.023
6.335     1.022
6.359     1.022
6.384     1.022
6.409     1.022
6.433     1.022
6.458     1.022
6.483     1.023
6.507     1.023
6.532     1.024
6.557     1.025
6.582     1.026
6.606     1.028
6.631     1.029
6.656     1.031
6.680     1.032
6.705     1.034
6.730     1.036
6.754     1.038
6.779     1.040
6.804     1.042
6.829     1.045
6.853     1.047
6.878     1.050
6.903     1.052
6.927     1.055
6.952     1.058
6.977     1.060
7.002     1.063
7.026     1.066
7.051     1.069
7.076     1.072
7.100     1.075
7.125     1.078
7.150     1.081
7.174     1.084
7.199     1.087
7.224     1.090
7.249     1.093
7.273     1.096
7.298     1.099
7.323     1.102
7.347     1.104
7.372     1.107
7.397     1.110
7.421     1.113
7.446     1.116
7.471     1.118
7.496     1.121
7.520     1.124
7.545     1.126
7.570     1.129
7.594     1.131
7.619     1.134
7.644     1.136
7.669     1.138
7.693     1.140
7.718     1.143
7.743     1.145
7.767     1.147
7.792     1.149
7.817     1.151
7.839     1.152
