#Nt=32, Ns=32, pure SU(3), g^2*a^4*Tr[FF]
#Beta	 TrF3iF3i.Re     TrF4iF4i.Re     TrF3iF3iMinusF4iF4i

#5.7 	 7.285157e-01 	 7.285108e-01 	 4.839443e-06 

#5.95 	 6.766254e-01 	 6.766382e-01 	 -1.276400e-05 

6.0 	 6.691232e-01 	 6.691165e-01 	 6.730850e-06 

6.1 	 6.554200e-01 	 6.554260e-01 	 -6.026551e-06 
 
6.2 	 6.429963e-01 	 6.430002e-01 	 -3.913256e-06 

6.35 	 6.259465e-01 	 6.259456e-01 	 9.259343e-07 

6.55 	 6.053617e-01 	 6.053588e-01 	 2.896538e-06 

6.7 	 5.911341e-01 	 5.911465e-01 	 -1.241362e-05 

6.85 	 5.777630e-01 	 5.777560e-01 	 6.972804e-06 
 
6.95 	 5.692591e-01 	 5.692532e-01 	 5.836008e-06 
