#Nt=8, Ns=32, pure SU(3), g^2*a^4*Tr[FF]
#Beta	 TrF3iF3i.Re     TrF4iF4i.Re     TrF3iF3iMinusF4iF4i

6.0	 6.691183e-01 	 6.691088e-01 	 9.546683e-06 

6.1 	 6.550312e-01 	 6.547744e-01 	 2.568086e-04 
 
6.2 	 6.427289e-01 	 6.423498e-01 	 3.791039e-04 
 
6.35 	 6.258743e-01 	 6.254227e-01 	 4.516141e-04 

6.55 	 6.054116e-01 	 6.049655e-01 	 4.461390e-04 
 
6.7 	 5.912454e-01 	 5.907803e-01 	 4.650778e-04

6.85 	 5.779394e-01 	 5.774512e-01 	 4.882238e-04 

6.95 	 5.694196e-01 	 5.689338e-01 	 4.858077e-04
